Date,Price,Open,High,Low,Vol.,Change %
04-07-2024,1.2756,1.2747,1.2764,1.2741,,0.12%
03-07-2024,1.2740,1.2677,1.2779,1.2673,,0.44%
02-07-2024,1.2684,1.2647,1.2689,1.2614,,0.29%
01-07-2024,1.2647,1.2644,1.2710,1.2632,,0.04%
28-06-2024,1.2642,1.2639,1.2665,1.2619,,0.03%
27-06-2024,1.2638,1.2625,1.2672,1.2612,,0.14%
26-06-2024,1.2620,1.2686,1.2695,1.2614,,-0.50%
25-06-2024,1.2683,1.2681,1.2704,1.2669,,0.03%
24-06-2024,1.2679,1.2646,1.2700,1.2631,,0.27%
21-06-2024,1.2645,1.2658,1.2677,1.2622,,-0.08%
20-06-2024,1.2655,1.2719,1.2726,1.2653,,-0.49%
19-06-2024,1.2717,1.2708,1.2741,1.2697,,0.08%
18-06-2024,1.2707,1.2702,1.2722,1.2668,,0.03%
17-06-2024,1.2703,1.2686,1.2711,1.2658,,0.17%
14-06-2024,1.2682,1.2761,1.2765,1.2656,,-0.60%
13-06-2024,1.2759,1.2799,1.2809,1.2737,,-0.29%
12-06-2024,1.2796,1.2742,1.2862,1.2731,,0.44%
11-06-2024,1.2740,1.2731,1.2753,1.2705,,0.08%
10-06-2024,1.2730,1.2723,1.2739,1.2687,,0.07%
07-06-2024,1.2721,1.2790,1.2813,1.2715,,-0.52%
06-06-2024,1.2788,1.2787,1.2811,1.2761,,0.02%
05-06-2024,1.2785,1.2765,1.2796,1.2754,,0.17%
04-06-2024,1.2763,1.2807,1.2819,1.2742,,-0.32%
03-06-2024,1.2804,1.2732,1.2809,1.2694,,0.51%
31-05-2024,1.2739,1.2732,1.2767,1.2699,,0.07%
30-05-2024,1.2730,1.2701,1.2748,1.2680,,0.18%
29-05-2024,1.2707,1.2761,1.2778,1.2698,,-0.42%
28-05-2024,1.2760,1.2770,1.2802,1.2753,,-0.05%
27-05-2024,1.2767,1.2730,1.2779,1.2730,,0.21%
24-05-2024,1.2740,1.2692,1.2752,1.2678,,0.34%
23-05-2024,1.2697,1.2717,1.2748,1.2684,,-0.14%
22-05-2024,1.2715,1.2709,1.2763,1.2699,,0.06%
21-05-2024,1.2707,1.2706,1.2728,1.2686,,0.02%
20-05-2024,1.2704,1.2701,1.2727,1.2686,,0.04%
17-05-2024,1.2699,1.2672,1.2713,1.2644,,0.26%
16-05-2024,1.2666,1.2681,1.2702,1.2642,,-0.15%
15-05-2024,1.2685,1.2592,1.2688,1.2582,,0.77%